"state","year","race","rate","disease"
"Texas",2020,"AmericanIndian_AlaskaNative",109.6,"chlamydia"
"Texas",2020,"Asian",40.2,"chlamydia"
"Texas",2020,"Native.Hawaiian.or.Pacific.Islander",259.3,"chlamydia"
"Texas",2020,"Multiple.races",152.2,"chlamydia"
"Texas",2020,"Overall",462.5,"chlamydia"
"Utah",2020,"White",219.1,"chlamydia"
"Utah",2020,"Black",NA,"chlamydia"
"Utah",2020,"Hispanic",600.5,"chlamydia"
"Utah",2020,"AmericanIndian_AlaskaNative",521.7,"chlamydia"
"Utah",2020,"Asian",225.9,"chlamydia"
"Utah",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Utah",2020,"Multiple.races",0,"chlamydia"
"Utah",2020,"Overall",318.9,"chlamydia"
"Vermont",2020,"White",110.6,"chlamydia"
"Vermont",2020,"Black",729.2,"chlamydia"
"Vermont",2020,"Hispanic",181.4,"chlamydia"
"Vermont",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"Vermont",2020,"Asian",110.5,"chlamydia"
"Vermont",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Vermont",2020,"Multiple.races",67,"chlamydia"
"Vermont",2020,"Overall",173.9,"chlamydia"
"Virginia",2020,"White",152.8,"chlamydia"
"Virginia",2020,"Black",946.8,"chlamydia"
"Virginia",2020,"Hispanic",274.9,"chlamydia"
"Virginia",2020,"AmericanIndian_AlaskaNative",345.1,"chlamydia"
"Virginia",2020,"Asian",60.3,"chlamydia"
"Virginia",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Virginia",2020,"Multiple.races",80.6,"chlamydia"
"Virginia",2020,"Overall",474.6,"chlamydia"
"Washington",2020,"White",180,"chlamydia"
"Washington",2020,"Black",753,"chlamydia"
"Washington",2020,"Hispanic",386.9,"chlamydia"
"Washington",2020,"AmericanIndian_AlaskaNative",465,"chlamydia"
"Washington",2020,"Asian",90.2,"chlamydia"
"Washington",2020,"Native.Hawaiian.or.Pacific.Islander",575.1,"chlamydia"
"Washington",2020,"Multiple.races",194,"chlamydia"
"Washington",2020,"Overall",404,"chlamydia"
"West Virginia",2020,"White",180.5,"chlamydia"
"West Virginia",2020,"Black",NA,"chlamydia"
"West Virginia",2020,"Hispanic",207.5,"chlamydia"
"West Virginia",2020,"AmericanIndian_AlaskaNative",79,"chlamydia"
"West Virginia",2020,"Asian",146.7,"chlamydia"
"West Virginia",2020,"Native.Hawaiian.or.Pacific.Islander",478.5,"chlamydia"
"West Virginia",2020,"Multiple.races",191.3,"chlamydia"
"West Virginia",2020,"Overall",303.4,"chlamydia"
"Wisconsin",2020,"White",223.3,"chlamydia"
"Wisconsin",2020,"Black",NA,"chlamydia"
"Wisconsin",2020,"Hispanic",635.7,"chlamydia"
"Wisconsin",2020,"AmericanIndian_AlaskaNative",564.7,"chlamydia"
"Wisconsin",2020,"Asian",202,"chlamydia"
"Wisconsin",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Wisconsin",2020,"Multiple.races",80.2,"chlamydia"
"Wisconsin",2020,"Overall",450.8,"chlamydia"
"Wyoming",2020,"White",52.7,"chlamydia"
"Wyoming",2020,"Black",315.8,"chlamydia"
"Wyoming",2020,"Hispanic",274.3,"chlamydia"
"Wyoming",2020,"AmericanIndian_AlaskaNative",384.9,"chlamydia"
"Wyoming",2020,"Asian",17.3,"chlamydia"
"Wyoming",2020,"Native.Hawaiian.or.Pacific.Islander",0,"chlamydia"
"Wyoming",2020,"Multiple.races",0,"chlamydia"
"Wyoming",2020,"Overall",339.7,"chlamydia"
"United States",2021,"White",184.9,"chlamydia"
"United States",2021,"Black",NA,"chlamydia"
"United States",2021,"Hispanic",349.4,"chlamydia"
"United States",2021,"AmericanIndian_AlaskaNative",650.6,"chlamydia"
"United States",2021,"Asian",95.7,"chlamydia"
"United States",2021,"Native.Hawaiian.or.Pacific.Islander",563.2,"chlamydia"
"United States",2021,"Multiple.races",280.7,"chlamydia"
"United States",2021,"Overall",495.5,"chlamydia"
"Alabama",2021,"White",127.3,"chlamydia"
"Alabama",2021,"Black",872.2,"chlamydia"
"Alabama",2021,"Hispanic",140.2,"chlamydia"
"Alabama",2021,"AmericanIndian_AlaskaNative",134.9,"chlamydia"
"Alabama",2021,"Asian",71,"chlamydia"
"Alabama",2021,"Native.Hawaiian.or.Pacific.Islander",195.5,"chlamydia"
"Alabama",2021,"Multiple.races",154.5,"chlamydia"
"Alabama",2021,"Overall",625,"chlamydia"
"Alaska",2021,"White",209.5,"chlamydia"
"Alaska",2021,"Black",NA,"chlamydia"
"Alaska",2021,"Hispanic",394.7,"chlamydia"
"Alaska",2021,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"Alaska",2021,"Asian",173,"chlamydia"
"Alaska",2021,"Native.Hawaiian.or.Pacific.Islander",920.8,"chlamydia"
"Alaska",2021,"Multiple.races",880.2,"chlamydia"
"Alaska",2021,"Overall",760,"chlamydia"
"Arizona",2021,"White",167.2,"chlamydia"
"Arizona",2021,"Black",NA,"chlamydia"
"Arizona",2021,"Hispanic",473.6,"chlamydia"
"Arizona",2021,"AmericanIndian_AlaskaNative",810.4,"chlamydia"
"Arizona",2021,"Asian",127.1,"chlamydia"
"Arizona",2021,"Native.Hawaiian.or.Pacific.Islander",583.7,"chlamydia"
"Arizona",2021,"Multiple.races",315.8,"chlamydia"
"Arizona",2021,"Overall",570,"chlamydia"
"Arkansas",2021,"White",210.4,"chlamydia"
"Arkansas",2021,"Black",NA,"chlamydia"
"Arkansas",2021,"Hispanic",296.1,"chlamydia"
"Arkansas",2021,"AmericanIndian_AlaskaNative",117.1,"chlamydia"
"Arkansas",2021,"Asian",78.2,"chlamydia"
"Arkansas",2021,"Native.Hawaiian.or.Pacific.Islander",709,"chlamydia"
"Arkansas",2021,"Multiple.races",195.1,"chlamydia"
"Arkansas",2021,"Overall",593,"chlamydia"
"California",2021,"White",146.4,"chlamydia"
"California",2021,"Black",666.3,"chlamydia"
"California",2021,"Hispanic",221.6,"chlamydia"
"California",2021,"AmericanIndian_AlaskaNative",216.3,"chlamydia"
"California",2021,"Asian",75.3,"chlamydia"
"California",2021,"Native.Hawaiian.or.Pacific.Islander",338.5,"chlamydia"
"California",2021,"Multiple.races",30.8,"chlamydia"
"California",2021,"Overall",488,"chlamydia"
"Colorado",2021,"White",208.7,"chlamydia"
"Colorado",2021,"Black",NA,"chlamydia"
"Colorado",2021,"Hispanic",702.1,"chlamydia"
"Colorado",2021,"AmericanIndian_AlaskaNative",588.8,"chlamydia"
